製品番号,材質＆材料径
20836030,ASK2600S φ8.0CM
634878064,C3604Lcd Hex4.0　
#70(ﾉｽﾞﾙ),C3604Lcd φ6.0 平目 22山
#70(ﾉｽﾞﾙﾎﾞﾃﾞｰ),C3604Lcd φ8.0
#71(ﾉｽﾞﾙ),C3604Lcd φ5.0 ﾀﾃﾒR 15山
#71(ﾉｽﾞﾙﾎﾞﾃﾞｨ),C3604Lcd φ6.5
＃80,C3604Lcd φ6.0 ﾀﾃﾒR
#80（ﾉｽﾞﾙ),C3604Lcd φ6.0 平目 22山
#80（ﾉｽﾞﾙﾎﾞﾃﾞｰ),C3604Lcd φ8.0
000-6510-4211,ASK2600S φ10.0CM
000-6570-4211,ASK2600S φ10.0CM
000D71003,ASK2600S φ10.0CM
000D74601,ASK2600S φ10.0CM
00101A00200-0,SUS303 φ8.0CM
0-01D-487-01,SF-20T φ10.0D
002003-0742-0-00,ASK2600S φ6.0CM
002003-9541-0-00,ASK2600S φ5.0CM
002013-1852-0-00,ASK2600S φ6.0CM
0050-0011A00,SUS303 φ9.0CM
0050-0075A00,SUS303 φ8.0CM
005379-001-01,SUS440C φ6.0G  2m
005399-002-01,SUS303 φ5.0CM
00575332-01,SUS303 φ8.0CM
00575532-01,SUS303 φ8.0CM
00575532-02,SUS303 φ8.0CM
00575532-03,SUS303 φ8.0CM
00575532-04,SUS303 φ8.0CM
00575532-05,SUS303 φ8.0CM
00575532-06,SUS303 φ8.0CM
006-215-07,C3604Lcd φ10.0
006229-001-01,SUS303 φ6.0CM
00693-00190×1,C3604Lcd φ4.0
006999-002-01,SUS303 φ8.6 ﾀﾃﾒR
008030-0852-0-00,C3604Lcd φ8.0
008189-001-01,SUS304 φ10.0D
008189-002-01,SUS304 φ10.0D
008813-001,SUS304 φ3.0G  2m
008813-001-01,SUS304 φ3.0G  2m
008841-001-01,SUS303 φ5.0CM
008867-001-01,SUS303 φ5.5G
008868-001-01,SUS303 φ6.0CM
008929-001,C5191 φ4.0
008929-001-01,C5191 φ4.0
008983-001-01,SUS303 φ8.0CM
008984-001-01,C3604Lcd φ9.0
008986-001-01,C3604Lcd φ5.0
008986-01-01,"C3604Lcd φ4.0 (0,-15)"
00900-Y01,SUS303 φ26.0CM  2m
00900-Y12,C3604Lcd Hex22.0
009817X002-01,C5191 φ4.0
00D109700,SUS303 φ5.0CM
0.00E+00,C3604Lcd φ2.5
00E104700,SUS303 φ6.0G
011462-002-01,SUS303 φ3.0CM
0208-03400-01,SUS303 φ8.0D
A41G1CA302,1144 ASTM A311 φ6.0G  2m (支給材)
0287-01700-00,SUS303 φ8.0D
03-28296Z01-A,ASK2600S φ7.5 ﾀﾃﾒR m=0.3
03-30204Z01-A,ASK2600S φ8.0CM
047803-C,ASK2200R φ10.0CM
050610-A,ASK2200R φ10.0CM
051805-A,ASK2200R φ8.0CM
60718,C3604（一般） φ4.0
644169,SUS303 Hex17.0  2m
0660-0060A00,SUS303 φ4.0G
080701-S1,C3604Lcd φ25.0
082-CH314,G23-T8 φ12.0
082-CH316,G23-T8 φ13.0
082-CH328,G23-T8 φ15.0
09095-03210,SUS303 Hex12.0  2m
097374-B,S45CFS φ10.0D
0I333R8-1,ASK2600S φ4.0CM
10,C3602Lcd φ7.0 (NB5N)
10.1×63.9 (新規),S45CF φ12.0Ｄ
10013-70074,SUS303 φ7.0CM
10013-70074-a,SUS303 φ7.0CM
10013-70074-S3,SUS303 φ7.0CM
10-028-04,C3604Lcd φ11.0
10028-70074,C3604Lcd φ8.0
10048-70074,C3604Lcd φ8.0
10048-70074-a,C3604Lcd φ8.0
10069-4-01,SUS303 φ17.0CM
10069-6-01,C3604Lcd φ8.0
2010/1/2,TLS φ9.0D
2010/1/4,C3602Lcd φ4.0 (NB5N)
102031K001,SUS303 φ10.0G
104037504-01,SUS303 φ2.0G  2.1m
104037504-08,SUS303 φ2.0D (支給材）
104037504-09,SUS303 φ2.0D (支給材）
10-411-01,C3604Lcd φ2.5
10618,ASK2600S φ12.0CM
106-314,C3604Lcd φ4.0
106-512,C3604Lcd φ7.0
106-517,C3604Lcd φ4.0
106-611,G23-T8 φ15.0
10R-101,ASK2600S φ10.0CM
10R-103-1,ASK2600S φ10.0CM
10TA-01-004A,C3604Lcd φ5.2
10TA-01-005A,C3604Lcd φ5.0 (NB3S)
10TA-01-006A,C3604Lcd φ5.2 (NB3S)
10TA-01-009A,C3604Lcd φ7.0 (NB3S)
10TA-02-002,SK4F φ3.0G  2m
11.5×15×29,ASK2600S φ8.0CM
11.5×9×29,ASK2600S φ8.0CM
1-1003-003,C3604Lcd φ9.0
N210045625+001AB,SCM435 φ14.0D  2m
11210T1-111AA,S35CFS φ12.0D (支給材)
1142E-M1-14,A5056 φ17.0 2m
1142F-M1-14,
116XS-A032D9,SF-20T φ5.0G
1184200,S45CFS φ10.0D
1190116-0,SDF φ3.0D
1190116-00,SDF φ3.0D
1197413000,SCM435 φ8.0D  2m
1199782-0,ASK2200R φ8.0CM
1199966-00,SF-13E φ6.0D
11AP1T1-111AA,S35CFS φ12.0D (支給材)
11GADT2-111AB,S35CFS φ12.0D (支給材)
11-LEJ40-11,SUS303 φ6.0CM
1231-3-4E,A5056 φ17.0 2m
1231-3-5A,A5056 φ17.0 2m
125278,SUS304 φ3.0G  2m
126135,SUS303 φ20.0CM
126779,C3604Lcd φ19.0
1268-5528-3,CB156 φ3.5
127235,ASK2600 Hex10.0
127244,ASK2600 Hex10.0
12R-101A-B,C6782Lcd φ6.0  2m
12R-101B-B,C6782Lcd φ6.0  2m
12R-101-FJN4H,C6782Lcd φ6.0  2m
12R-108A,ASK500F φ4.0G  2m
12R-108B,ASK500F φ4.0G  2m
12R-108-B,ASK500F φ4.0G  2m
12R-109A-CBC6,ASK500F φ4.0G  2m
12R-110A,ASK2600S φ5.0CM
12R-205,C3604Lcd φ3.0
12R-208,SUS303 φ5.0CM
13,C3602Lcd φ4.0 (NB5N)
13-0.23,C3602Lcd φ7.0 (NB5N)
13-0.37,C3602Lcd φ7.0 (NB5N)
13-002-1,ASK2600S φ12.0CM
13016-8,"1215 φ4.5  (-10,-20)"
130809φ10×36.6,ASK2600S φ10.0CM
1330550020,SGD3M φ8.0D  2.0m
13432,C3604Lcd φ11.0 (NB3S)
136,SUS303 φ18.0CM
136 金具B,SUS303 φ16.0CM
136016-1,1215 φ4.5D
136016-10,"1215 φ4.5  (-10,-20)"
136016-2,1215 φ4.5D
136016-3,1215 φ4.5D
136016-4,1215 φ4.5D
136016-5,1215 φ4.5D
136016-6,1215 φ4.5D
136016-7,"1215 φ4.5  (-10,-20)"
136017-1,1215 φ4.5D
136017-2,1215 φ4.5D
136020,1215 φ4.5D
13HT153A0,SUS303 φ5.0CM
13R-002-01,S45CFS φ10.0D
13R-002-1,ASK2600S φ12.0CM
13R-002-2,ASK2600S φ12.0CM
13R-101-1,ASK2600S φ12.0CM
13R18T2-442RY,STKM11A φ10.0ｘ1.6t
13RR402-P1,SUS303 φ7.0CM
1400330,A2017 φ15.0 2m
14050AB190-FZ,STKM13A φ21.0×15.0×2500 （客先有償支給）
2月14日,A5056 φ12.0 2m
142946,C3604Lcd φ3.0
1448-2110-00,C3604Lcd φ6.0
1448-2111-00,C3604Lcd φ5.0
1450-1457-00,SUS416 φ5.0G
145015-6,SUS303 φ3.0CM
1450219-1,ASK2600 Hex7.0
1450-3407-01,C3604Lcd φ7.0
1450-3457-00,SUS416 φ5.0G
1450P005,SDF φ8.0 平目R ﾓｼﾞｭｰﾙ0.2  40山
1450P005-2,C3604Lcd φ9.0
1450P005-3,SDF φ8.0 平目R ﾓｼﾞｭｰﾙ0.2
1450P017-6,SUS303 φ9.0CM
1450P017U-6,SUS303 φ9.0CM
1450P017U-6(UNF),
1450P020-6,SUS303 φ5.0CM
1450P030A,C3604Lcd φ3.0 (NB3S)
1450P030B,C3604Lcd φ3.0 (NB3S)
1451418900,C3604Lcd Hex14.0
1451P005,ASK2600S φ10.0CM
1451P005-2,C3604Lcd φ10.0
1451P020-6,SUS303 φ6.0CM
1451P020-6,SUS303 φ6.0CM
1451P030A,C3604Lcd φ4.0 (NB5S)
1451P030B,C3604Lcd φ4.0 (NB5S)
1451P301,SUS303 φ10.0CM
1452107,C3604Lcd Hex17.0
145215,C3604Lcd φ5.2 (NB3T)
1452P005,SDF φ14.0D
1452P020-1,C3604Lcd φ7.0
1452P020-6,SUS303 φ7.0CM
1454P301,SUS303 Hex17.0  2m
14616,C3604Lcd φ2.5
146656-1500,ASK2200R φ10.0CM
149901-0000,ASK2200R φ8.0CM
15-002-02,C5441 φ12.0
15-0464H-C,A5056 φ18.0 2m
15-0464P,A5056 φ18.0 2m
15-0675H,C3602Lcd φ12.0 (NB5N)
15-0806H,SUS303 φ3.5G
15-0811H,SUS303 φ3.5G
15-0860H-1,SUS303 φ6.0CM
15-0942H,SUS303 φ5.0CM
15-0955H,SUS303 φ7.0CM
15-0956H-1,SUS303 φ5.0CM
15-0972H-1,SUS303 φ7.0CM
15-0973H-1,SUS303 φ7.0CM
15-0975H,SUS303 φ6.0CM
