材質名,形状・寸法,品番,用途区分,専用品番
ASK2600S,φ8.0,20836030,汎用,CM
C3604LCD,Hex4.0,634878064,汎用,
C3604LCD,φ6.0,#70(ﾉｽﾞﾙ),汎用,平目 22山
C3604LCD,φ8.0,#70(ﾉｽﾞﾙﾎﾞﾃﾞｰ),汎用,
C3604LCD,φ5.0,#71(ﾉｽﾞﾙ),汎用,ﾀﾃﾒR 15山
C3604LCD,φ6.5,#71(ﾉｽﾞﾙﾎﾞﾃﾞｨ),汎用,
C3604LCD,φ6.0,＃80,汎用,ﾀﾃﾒR
C3604LCD,φ6.0,#80（ﾉｽﾞﾙ),汎用,平目 22山
C3604LCD,φ8.0,#80（ﾉｽﾞﾙﾎﾞﾃﾞｰ),汎用,
ASK2600S,φ10.0,000-6510-4211,汎用,CM
ASK2600S,φ10.0,000-6570-4211,汎用,CM
ASK2600S,φ10.0,000D71003,汎用,CM
ASK2600S,φ10.0,000D74601,汎用,CM
SUS303,φ8.0,00101A00200-0,汎用,CM
SF-20T,φ10.0,0-01D-487-01,汎用,D
ASK2600S,φ6.0,002003-0742-0-00,汎用,CM
ASK2600S,φ5.0,002003-9541-0-00,汎用,CM
ASK2600S,φ6.0,002013-1852-0-00,汎用,CM
SUS303,φ9.0,0050-0011A00,汎用,CM
SUS303,φ8.0,0050-0075A00,汎用,CM
SUS440C,φ6.0,005379-001-01,汎用,G  2m
SUS303,φ5.0,005399-002-01,汎用,CM
SUS303,φ8.0,00575332-01,汎用,CM
SUS303,φ8.0,00575532-01,汎用,CM
SUS303,φ8.0,00575532-02,汎用,CM
SUS303,φ8.0,00575532-03,汎用,CM
SUS303,φ8.0,00575532-04,汎用,CM
SUS303,φ8.0,00575532-05,汎用,CM
SUS303,φ8.0,00575532-06,汎用,CM
C3604LCD,φ10.0,006-215-07,汎用,
SUS303,φ6.0,006229-001-01,汎用,CM
C3604LCD,φ4.0,00693-00190×1,汎用,
SUS303,φ8.6,006999-002-01,汎用,ﾀﾃﾒR
C3604LCD,φ8.0,008030-0852-0-00,汎用,
SUS304,φ10.0,008189-001-01,汎用,D
SUS304,φ10.0,008189-002-01,汎用,D
SUS304,φ3.0,008813-001,汎用,G  2m
SUS304,φ3.0,008813-001-01,汎用,G  2m
SUS303,φ5.0,008841-001-01,汎用,CM
SUS303,φ5.5,008867-001-01,汎用,G
SUS303,φ6.0,008868-001-01,汎用,CM
C5191,φ4.0,008929-001,汎用,
C5191,φ4.0,008929-001-01,汎用,
SUS303,φ8.0,008983-001-01,汎用,CM
C3604LCD,φ9.0,008984-001-01,汎用,
C3604LCD,φ5.0,008986-001-01,汎用,
C3604LCD,φ4.0,008986-01-01,汎用,"(0,-15)"
SUS303,φ26.0,00900-Y01,汎用,CM  2m
C3604LCD,Hex22.0,00900-Y12,汎用,
C5191,φ4.0,009817X002-01,汎用,
SUS303,φ5.0,00D109700,汎用,CM
C3604LCD,φ2.5,0.00E+00,汎用,
SUS303,φ6.0,00E104700,汎用,G
SUS303,φ3.0,011462-002-01,汎用,CM
SUS303,φ8.0,0208-03400-01,汎用,D
1144,φ6.0,A41G1CA302,汎用,ASTM A311 G  2m (支給材)
SUS303,φ8.0,0287-01700-00,汎用,D
ASK2600S,φ7.5,03-28296Z01-A,汎用,ﾀﾃﾒR m=0.3
ASK2600S,φ8.0,03-30204Z01-A,汎用,CM
ASK2200R,φ10.0,047803-C,汎用,CM
ASK2200R,φ10.0,050610-A,汎用,CM
ASK2200R,φ8.0,051805-A,汎用,CM
C3604,φ4.0,60718,汎用,（一般）
SUS303,Hex17.0,644169,汎用,2m
SUS303,φ4.0,0660-0060A00,汎用,G
C3604LCD,φ25.0,080701-S1,汎用,
G23-T8,φ12.0,082-CH314,汎用,
G23-T8,φ13.0,082-CH316,汎用,
G23-T8,φ15.0,082-CH328,汎用,
SUS303,Hex12.0,09095-03210,汎用,2m
S45CFS,φ10.0,097374-B,汎用,D
ASK2600S,φ4.0,0I333R8-1,汎用,CM
C3602LCD,φ7.0,10,汎用,(NB5N)
S45CF,φ12.0,10.1×63.9 (新規),汎用,Ｄ
SUS303,φ7.0,10013-70074,汎用,CM
SUS303,φ7.0,10013-70074-a,汎用,CM
SUS303,φ7.0,10013-70074-S3,汎用,CM
C3604LCD,φ11.0,10-028-04,汎用,
C3604LCD,φ8.0,10028-70074,汎用,
C3604LCD,φ8.0,10048-70074,汎用,
C3604LCD,φ8.0,10048-70074-a,汎用,
SUS303,φ17.0,10069-4-01,汎用,CM
C3604LCD,φ8.0,10069-6-01,汎用,
TLS,φ9.0,2010/1/2,汎用,D
C3602LCD,φ4.0,2010/1/4,汎用,(NB5N)
SUS303,φ10.0,102031K001,汎用,G
SUS303,φ2.0,104037504-01,汎用,G  2.1m
SUS303,φ2.0,104037504-08,汎用,D (支給材）
SUS303,φ2.0,104037504-09,汎用,D (支給材）
C3604LCD,φ2.5,10-411-01,汎用,
ASK2600S,φ12.0,10618,汎用,CM
C3604LCD,φ4.0,106-314,汎用,
C3604LCD,φ7.0,106-512,汎用,
C3604LCD,φ4.0,106-517,汎用,
G23-T8,φ15.0,106-611,汎用,
ASK2600S,φ10.0,10R-101,汎用,CM
ASK2600S,φ10.0,10R-103-1,汎用,CM
C3604LCD,φ5.2,10TA-01-004A,汎用,
C3604LCD,φ5.0,10TA-01-005A,汎用,(NB3S)
C3604LCD,φ5.2,10TA-01-006A,汎用,(NB3S)
C3604LCD,φ7.0,10TA-01-009A,汎用,(NB3S)
SK4F,φ3.0,10TA-02-002,汎用,G  2m
ASK2600S,φ8.0,11.5×15×29,汎用,CM
ASK2600S,φ8.0,11.5×9×29,汎用,CM
C3604LCD,φ9.0,1-1003-003,汎用,
SCM435,φ14.0,N210045625+001AB,汎用,D  2m
S35CFS,φ12.0,11210T1-111AA,汎用,D (支給材)
A5056,φ17.0,1142E-M1-14,汎用,2m
SF-20T,φ5.0,116XS-A032D9,汎用,G
S45CFS,φ10.0,1184200,汎用,D
SDF,φ3.0,1190116-0,汎用,D
SDF,φ3.0,1190116-00,汎用,D
SCM435,φ8.0,1197413000,汎用,D  2m
ASK2200R,φ8.0,1199782-0,汎用,CM
SF-13E,φ6.0,1199966-00,汎用,D
S35CFS,φ12.0,11AP1T1-111AA,汎用,D (支給材)
S35CFS,φ12.0,11GADT2-111AB,汎用,D (支給材)
SUS303,φ6.0,11-LEJ40-11,汎用,CM
A5056,φ17.0,1231-3-4E,汎用,2m
A5056,φ17.0,1231-3-5A,汎用,2m
SUS304,φ3.0,125278,汎用,G  2m
SUS303,φ20.0,126135,汎用,CM
C3604LCD,φ19.0,126779,汎用,
CB156,φ3.5,1268-5528-3,汎用,
ASK2600,Hex10.0,127235,汎用,
ASK2600,Hex10.0,127244,汎用,
C6782LCD,φ6.0,12R-101A-B,汎用,2m
C6782LCD,φ6.0,12R-101B-B,汎用,2m
C6782LCD,φ6.0,12R-101-FJN4H,汎用,2m
ASK500F,φ4.0,12R-108A,汎用,G  2m
ASK500F,φ4.0,12R-108B,汎用,G  2m
ASK500F,φ4.0,12R-108-B,汎用,G  2m
ASK500F,φ4.0,12R-109A-CBC6,汎用,G  2m
ASK2600S,φ5.0,12R-110A,汎用,CM
C3604LCD,φ3.0,12R-205,汎用,
SUS303,φ5.0,12R-208,汎用,CM
C3602LCD,φ4.0,13,汎用,(NB5N)
C3602LCD,φ7.0,13-0.23,汎用,(NB5N)
C3602LCD,φ7.0,13-0.37,汎用,(NB5N)
ASK2600S,φ12.0,13-002-1,汎用,CM
1215,φ4.5,13016-8,汎用,"(-10,-20)"
ASK2600S,φ10.0,130809φ10×36.6,汎用,CM
SGD3M,φ8.0,1330550020,汎用,D  2.0m
C3604LCD,φ11.0,13432,汎用,(NB3S)
SUS303,φ18.0,136,汎用,CM
SUS303,φ16.0,136 金具B,汎用,CM
1215,φ4.5,136016-1,汎用,D
1215,φ4.5,136016-10,汎用,"(-10,-20)"
1215,φ4.5,136016-2,汎用,D
1215,φ4.5,136016-3,汎用,D
1215,φ4.5,136016-4,汎用,D
1215,φ4.5,136016-5,汎用,D
1215,φ4.5,136016-6,汎用,D
1215,φ4.5,136016-7,汎用,"(-10,-20)"
1215,φ4.5,136017-1,汎用,D
